task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
57	1c/394055	414573	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF-PS_June2023_S48_R)	COMPLETED	0	2023-11-29 13:23:17.075	11m 10s	3m 13s	884.2%	10.2 GB	12.1 GB	25.9 GB	24.2 GB
54	bc/c1a9c5	414576	MARSQ_MAP_ONLY:SplitBamAndStats (FF_PS_Jan2023_trim_host_removed)	COMPLETED	0	2023-11-29 13:25:06.661	9m 20s	2m 22s	145.7%	34.1 MB	1.1 GB	25.4 GB	11.6 GB
55	4c/c33ee0	414577	MARSQ_MAP_ONLY:SplitBamAndStats (FF-PS_Feb2023_S48_trim_host_removed)	COMPLETED	0	2023-11-29 13:25:06.749	10m 40s	2m 44s	140.5%	34 MB	1.1 GB	26.3 GB	12.2 GB
66	43/bab0c5	414588	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (FF-PS_June2023_S48_R)	COMPLETED	0	2023-11-29 13:34:26.684	1m 30s	1m 15s	139.0%	16.9 MB	220.9 MB	12 GB	1.2 MB
59	44/1cb1ea	414579	MARSQ_MAP_ONLY:SplitBamAndStats (FF-PS_April2023_S48_host_removed)	COMPLETED	0	2023-11-29 13:25:56.677	12m 20s	3m 50s	134.6%	34.5 MB	1.1 GB	36.4 GB	17.7 GB
47	df/f2cb25	414569	MARSQ_MAP_ONLY:SplitBamAndStats (FF_June2023_S32)	COMPLETED	0	2023-11-29 13:21:50.845	19m 6s	11m 39s	116.0%	38.7 MB	974.2 MB	91.8 GB	54.2 GB
50	68/b3950b	414570	MARSQ_MAP_ONLY:SplitBamAndStats (FF_June2023_S32_R)	COMPLETED	0	2023-11-29 13:22:36.645	19m 50s	11m 47s	114.9%	40.1 MB	1 GB	91.8 GB	54.2 GB
19	2d/ea9bd0	414528	MARSQ_MAP_ONLY:BBMAP_ALIGN (FF-PS_May2023_S48_R)	COMPLETED	0	2023-11-29 11:31:26.654	2h 11m 30s	30m 15s	4674.0%	63.3 GB	110 GB	93.5 GB	92.3 GB
63	43/1b217c	414585	MARSQ_MAP_ONLY:SplitBamAndStats (FF-PS_June2023_S48)	COMPLETED	0	2023-11-29 13:28:16.619	14m 40s	7m 7s	125.0%	38.4 MB	1.1 GB	61.1 GB	32.9 GB
64	7c/e12019	414586	MARSQ_MAP_ONLY:SplitBamAndStats (FF-PS_March2023_S76_R)	COMPLETED	0	2023-11-29 13:30:36.652	13m 50s	6m 14s	130.5%	38.4 MB	1 GB	56.9 GB	29.1 GB
60	01/ec7f3e	414581	MARSQ_MAP_ONLY:SplitBamAndStats (FF_May2023_S32_R)	COMPLETED	0	2023-11-29 13:26:36.621	18m 20s	10m 33s	116.9%	38.4 MB	1.1 GB	89 GB	52.5 GB
68	dc/9d6a9f	414591	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF-PS_May2023_S48_R)	COMPLETED	0	2023-11-29 13:42:56.692	3m 20s	3m 16s	891.4%	10.3 GB	12.2 GB	28.8 GB	27.2 GB
67	b3/61836c	414589	MARSQ_MAP_ONLY:SplitBamAndStats (FF-PS_June2023_S48_R)	COMPLETED	0	2023-11-29 13:34:26.739	13m 10s	6m 42s	126.3%	37.8 MB	1 GB	61.1 GB	32.9 GB
70	66/f9f08f	414593	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (FF-PS_May2023_S48_R)	COMPLETED	0	2023-11-29 13:46:16.712	1m 30s	1m 20s	135.3%	16.4 MB	220.9 MB	12.9 GB	1.1 MB
69	38/09da66	414594	MARSQ_MAP_ONLY:SplitBamAndStats (FF-PS_May2023_S48_R)	COMPLETED	0	2023-11-29 13:46:16.737	6m	5m 57s	131.3%	41.2 MB	1.1 GB	56.1 GB	28.8 GB
