task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	56/a91a0c	409082	MARSQ_MAP_ONLY:ConcatenateGenomes	CACHED	0	2023-11-13 17:50:18.122	29.6s	309ms	65.9%	4.8 MB	19.9 MB	408.5 MB	408.4 MB
2	1a/082644	409083	MARSQ_MAP_ONLY:BBMAP_INDEX (concatenated_reference.fasta)	CACHED	0	2023-11-13 17:50:47.976	2m 10s	1m 37s	192.2%	3.8 GB	9.3 GB	411.6 MB	1.7 GB
4	c5/0b87a6	409087	MARSQ_MAP_ONLY:BBMAP_ALIGN (FF-PS_April2023_S48)	CACHED	0	2023-11-13 17:52:58.931	1h 49m 9s	21m 29s	4632.8%	63.1 GB	109.7 GB	64.5 GB	62.9 GB
3	b9/e016e3	409086	MARSQ_MAP_ONLY:BBMAP_ALIGN (FF_April2023_S32)	CACHED	0	2023-11-13 17:52:58.893	1h 40m 59s	13m 24s	4554.7%	63.1 GB	109.7 GB	40.1 GB	39.2 GB
6	49/4892bf	409191	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF-PS_April2023_S48)	CACHED	0	2023-11-13 19:42:08.089	7m 10s	2m 33s	827.9%	10.2 GB	11.9 GB	18.7 GB	17.8 GB
9	b5/149fea	409189	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF_April2023_S32)	CACHED	0	2023-11-13 19:33:58.586	10m 59s	1m 41s	769.4%	10.2 GB	12.1 GB	11.6 GB	10.4 GB
13	7b/86e81b	409197	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (FF_April2023_S32)	CACHED	0	2023-11-13 19:44:58.703	49.2s	35s	141.3%	16.2 MB	220.9 MB	5.1 GB	1.2 MB
12	40/901359	409205	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (FF-PS_April2023_S48)	CACHED	0	2023-11-13 19:49:18.051	1m 30s	57s	135.6%	16.1 MB	220.9 MB	8.9 GB	1.1 MB
10	47/1cdac2	410764	MARSQ_MAP_ONLY:SplitBamAndStats (FF-PS_April2023_S48)	FAILED	0	2023-11-14 13:38:32.871	2m 39s	2m 31s	153.1%	37.4 MB	1 GB	17.9 GB	17.5 GB
11	2a/67ec96	410763	MARSQ_MAP_ONLY:SplitBamAndStats (FF_April2023_S32)	FAILED	0	2023-11-14 13:38:32.840	3m 39s	3m 36s	126.9%	37.8 MB	977.9 MB	18.8 GB	26.7 GB
5	5a/adf12b	410761	MARSQ_MAP_ONLY:BBMAP_ALIGN (YBTML_2023-04-04_S62)	COMPLETED	0	2023-11-14 13:38:32.762	12m 9s	12m 7s	4586.8%	63.1 GB	109.6 GB	29.6 GB	28.6 GB
7	d9/31caac	410760	MARSQ_MAP_ONLY:BBMAP_ALIGN (YBTML_2023-03-28_S61)	COMPLETED	0	2023-11-14 13:38:32.728	13m 29s	13m 19s	4608.0%	63 GB	109.5 GB	39.1 GB	38.4 GB
8	12/8eb53f	410762	MARSQ_MAP_ONLY:BBMAP_ALIGN (YBTML_2023-04-18_S64)	COMPLETED	0	2023-11-14 13:38:32.807	18m 19s	18m 12s	4545.4%	63.1 GB	109.7 GB	46 GB	45.4 GB
