task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	56/a91a0c	409082	MARSQ_MAP_ONLY:ConcatenateGenomes	CACHED	0	2023-11-13 17:50:18.122	29.6s	309ms	65.9%	4.8 MB	19.9 MB	408.5 MB	408.4 MB
2	1a/082644	409083	MARSQ_MAP_ONLY:BBMAP_INDEX (concatenated_reference.fasta)	CACHED	0	2023-11-13 17:50:47.976	2m 10s	1m 37s	192.2%	3.8 GB	9.3 GB	411.6 MB	1.7 GB
3	b9/e016e3	409086	MARSQ_MAP_ONLY:BBMAP_ALIGN (FF_April2023_S32)	CACHED	0	2023-11-13 17:52:58.893	1h 40m 59s	13m 24s	4554.7%	63.1 GB	109.7 GB	40.1 GB	39.2 GB
4	c5/0b87a6	409087	MARSQ_MAP_ONLY:BBMAP_ALIGN (FF-PS_April2023_S48)	CACHED	0	2023-11-13 17:52:58.931	1h 49m 9s	21m 29s	4632.8%	63.1 GB	109.7 GB	64.5 GB	62.9 GB
6	b5/149fea	409189	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF_April2023_S32)	CACHED	0	2023-11-13 19:33:58.586	10m 59s	1m 41s	769.4%	10.2 GB	12.1 GB	11.6 GB	10.4 GB
7	49/4892bf	409191	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF-PS_April2023_S48)	CACHED	0	2023-11-13 19:42:08.089	7m 10s	2m 33s	827.9%	10.2 GB	11.9 GB	18.7 GB	17.8 GB
5	f3/5a91cb	409088	MARSQ_MAP_ONLY:BBMAP_ALIGN (YBTML_2023-04-04_S62)	CACHED	0	2023-11-13 17:52:58.961	1h 43m 39s	11m 52s	4554.7%	63 GB	109.7 GB	29.6 GB	28.6 GB
10	7b/86e81b	409197	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (FF_April2023_S32)	CACHED	0	2023-11-13 19:44:58.703	49.2s	35s	141.3%	16.2 MB	220.9 MB	5.1 GB	1.2 MB
12	40/901359	409205	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (FF-PS_April2023_S48)	CACHED	0	2023-11-13 19:49:18.051	1m 30s	57s	135.6%	16.1 MB	220.9 MB	8.9 GB	1.1 MB
8	b1/b439b0	409190	MARSQ_MAP_ONLY:SAMTOOLS_SORT (YBTML_2023-04-04_S62)	CACHED	0	2023-11-13 19:36:38.041	9m 50s	1m 13s	766.4%	10 GB	12 GB	8.3 GB	7.3 GB
14	a6/ba8bc4	409198	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (YBTML_2023-04-04_S62)	CACHED	0	2023-11-13 19:46:28.035	39.9s	25s	143.7%	16.1 MB	220.9 MB	3.7 GB	1.2 MB
11	67/5d9fcd	410743	MARSQ_MAP_ONLY:SplitBamAndStats (FF-PS_April2023_S48)	FAILED	2	2023-11-14 12:52:32.954	2m 19s	2m 10s	-	-	-	-	-
13	53/3c324b	410744	MARSQ_MAP_ONLY:SplitBamAndStats (YBTML_2023-04-04_S62)	FAILED	2	2023-11-14 12:52:32.987	2m 49s	2m 40s	-	-	-	-	-
9	d3/fdb896	410742	MARSQ_MAP_ONLY:SplitBamAndStats (FF_April2023_S32)	FAILED	2	2023-11-14 12:52:32.892	3m 19s	3m 10s	-	-	-	-	-
